T,Sig_Np,Rate#,Pct_Np,CumPct,SigT,E:SNR0039,Sig,SigCalc,Range,Zero
2404.86,3.11709e-12,1.0,1.36292e-12,6.16957e-14,1.386,1.43461,199.392,207.021,1.386,0.0
2196.71,0.0,2.0,0.0,0.0,1.694,3.70604,182.817,202.525,300.61,0.0
2006.57,0.0,3.0,0.0,0.0,2.002,-0.139949,198.883,198.139,,
1832.88,0.0,4.0,0.0,0.0,2.31,-1.48977,201.783,193.861,,
1674.23,0.0,5.0,0.0,0.0,2.618,-0.875203,194.342,189.688,,
1529.32,0.0,6.0,0.0,0.0,2.926,-0.39353,187.708,185.616,,
1396.94,0.0,7.0,0.0,0.0,3.234,-0.164362,182.517,181.643,,
1276.03,0.0,8.0,0.0,0.0,3.542,-0.321407,179.475,177.766,,
1165.58,0.0,9.0,0.0,0.0,3.85,-0.496893,176.625,173.983,,
1064.69,0.0,10.0,0.0,0.0,4.158,-0.225879,171.492,170.29,,
972.534,0.0,11.0,0.0,0.0,4.466,0.679222,163.075,166.687,,
888.354,0.0,12.0,0.0,0.0,4.774,-0.0433099,163.4,163.17,,
811.461,0.0,13.0,0.0,0.0,5.082,-0.392769,161.825,159.736,,
741.223,0.0,14.0,0.0,0.0,5.39,0.656849,152.892,156.385,,
677.065,0.0,15.0,0.0,0.0,5.698,0.0995083,152.583,153.112,,
618.46,0.0,16.0,0.0,0.0,6.006,-0.998019,155.225,149.918,,
564.928,3.4644e-11,17.0,1.51478e-11,0.0,6.16,-0.479759,150.9,148.349,,
516.03,8.20493e-11,18.0,3.58754e-11,0.0,6.468,-0.921512,150.167,145.266,,
471.364,7.70046e-11,19.0,3.36696e-11,0.0,6.776,-1.9326,152.533,142.256,,
430.564,6.14095e-11,20.0,2.68508e-11,0.0,7.084,-0.404327,141.467,139.317,,
393.295,5.41304e-11,21.0,2.36681e-11,0.0,7.392,0.353321,134.567,136.446,,
359.253,5.72455e-11,22.0,2.50301e-11,0.0,7.7,1.28024,126.833,133.641,,
328.157,7.07536e-11,23.0,3.09365e-11,0.0,8.008,1.18515,124.6,130.902,,
299.753,9.58441e-11,24.0,4.19071e-11,0.0,8.316,-1.02923,133.7,128.227,,
273.807,1.3376e-10,25.0,5.84857e-11,0.0,8.624,-0.633805,128.983,125.613,,
250.107,1.82273e-10,26.0,7.96973e-11,0.0,8.932,-0.302283,124.667,123.059,,
228.459,2.37979e-10,27.0,1.04054e-10,0.0,9.24,0.275321,119.1,120.564,,
208.684,2.94726e-10,28.0,1.28866e-10,0.0,9.548,2.14866,106.7,118.126,,
190.621,3.456e-10,29.0,1.51111e-10,0.0,9.856,-0.396066,117.85,115.744,,
174.121,3.82703e-10,30.0,1.67334e-10,0.0,10.164,-1.47636,121.267,113.416,,
