T,Sig_Np,Rate#,Pct_Np,CumPct,SigT,E:SNR0044,Sig,SigCalc,Range,Zero
3621.98,0.0,1.0,0.0,0.0,0.261,1.84925,289.575,302.394,0.261,0.0
3239.72,3.02534e-09,2.0,9.98351e-10,0.0,0.319,2.28323,286.425,302.252,452.75,0.0
2897.79,5.63577e-09,3.0,1.85978e-09,1.37907e-10,0.377,1.56676,291.25,302.111,,
2591.96,8.36108e-09,4.0,2.75913e-09,3.95494e-10,0.435,0.736117,296.867,301.969,,
2318.4,1.08176e-08,5.0,3.56975e-09,7.48444e-10,0.493,-0.969681,308.55,301.828,,
2073.71,1.29418e-08,6.0,4.27074e-09,1.18569e-09,0.551,1.01162,294.675,301.687,,
1854.85,1.48225e-08,7.0,4.89135e-09,1.69665e-09,0.609,2.46278,284.475,301.547,,
1659.09,1.74629e-08,8.0,5.76268e-09,2.2908e-09,0.667,-0.862258,307.383,301.406,,
1483.99,2.22215e-08,9.0,7.33301e-09,3.02112e-09,0.725,-1.86467,314.192,301.266,,
1327.36,2.80861e-08,10.0,9.2683e-09,3.94695e-09,0.783,-0.703141,306.0,301.126,,
1187.27,3.40646e-08,11.0,1.12412e-08,5.09072e-09,0.841,-0.395128,303.725,300.986,,
1061.97,3.91769e-08,12.0,1.29282e-08,6.43861e-09,0.899,-0.368394,303.4,300.846,,
949.886,4.23764e-08,13.0,1.3984e-08,7.93945e-09,0.957,0.27989,298.767,300.707,,
849.634,4.52415e-08,14.0,1.49295e-08,9.55191e-09,1.015,0.339139,298.217,300.568,,
759.963,4.81616e-08,15.0,1.58931e-08,1.12708e-08,1.073,1.82539,287.775,300.428,,
679.756,5.20466e-08,16.0,1.71752e-08,1.3115e-08,1.131,2.54349,282.658,300.29,,
608.014,5.63095e-08,17.0,1.85819e-08,1.51091e-08,1.16,1.64027,288.85,300.22,,
543.843,6.09011e-08,18.0,2.00971e-08,1.72662e-08,1.218,-2.21226,315.417,300.082,,
486.445,6.57147e-08,19.0,2.16856e-08,1.95963e-08,1.276,-0.965139,306.633,299.943,,
435.105,7.05284e-08,20.0,2.32741e-08,2.21036e-08,1.334,0.224304,298.25,299.805,,
389.184,7.53418e-08,21.0,2.48625e-08,2.47881e-08,1.392,1.88984,286.567,299.667,,
348.109,0.0,22.0,0.0,0.0,1.45,-0.46948,302.783,299.529,,
311.369,31.762,23.0,10.4813,0.584524,1.508,0.809006,293.783,299.391,,
278.507,130.206,24.0,42.9676,3.56527,1.566,-0.821739,304.95,299.254,,
249.113,289.995,25.0,95.6972,11.2984,1.624,-0.23565,300.75,299.117,,
222.821,515.663,26.0,170.167,26.1251,1.682,0.290358,296.967,298.979,,
199.305,605.913,27.0,199.949,46.7657,1.74,-1.612,310.017,298.842,,
178.27,485.104,28.0,160.082,66.844,1.798,1.67666,287.083,298.706,,
159.455,261.977,29.0,86.4514,80.5928,1.856,0.582217,294.533,298.569,,
