T,Sig_Np,Rate#,Pct_Np,CumPct,SigT,E:SNR0040,Sig,SigCalc,Range,Zero
4027.9,0.0,1.0,0.0,0.0,1.032,-1.31048,219.133,212.25,1.032,0.0
3653.59,1.71887e-12,2.0,7.69501e-13,0.0,1.29,1.15138,203.517,209.565,503.49,0.0
3314.07,0.0,3.0,0.0,0.0,1.548,0.91705,202.1,206.917,,
3006.1,0.0,4.0,0.0,0.0,1.806,-0.0210011,204.417,204.306,,
2726.75,0.0,5.0,0.0,0.0,2.064,-2.07218,212.617,201.732,,
2473.36,0.0,6.0,0.0,0.0,2.322,0.442886,196.867,199.193,,
2243.52,0.0,7.0,0.0,0.0,2.58,-0.604862,199.867,196.689,,
2035.03,0.0,8.0,0.0,0.0,2.838,-1.4842,202.017,194.22,,
1845.92,3.72914e-11,9.0,1.66945e-11,0.0,3.096,-0.139193,192.517,191.786,,
1674.38,1.15645e-10,10.0,5.17717e-11,0.0,3.354,0.241302,188.117,189.384,,
1518.79,2.1144e-10,11.0,9.4657e-11,6.4742e-12,3.612,-0.533189,189.817,187.016,,
1377.65,3.12291e-10,12.0,1.39805e-10,1.79081e-11,3.87,0.183439,183.717,184.68,,
1249.63,4.05456e-10,13.0,1.81513e-10,3.35778e-11,4.128,0.373126,180.417,182.377,,
1133.5,4.77853e-10,14.0,2.13924e-10,5.28619e-11,4.386,0.581521,177.05,180.105,,
1028.17,5.15966e-10,15.0,2.30986e-10,7.45587e-11,4.644,1.30668,171.0,177.864,,
932.622,5.05975e-10,16.0,2.26513e-10,9.68695e-11,4.902,0.0482607,175.4,175.654,,
845.956,4.61273e-10,17.0,2.06501e-10,1.17986e-10,5.16,1.09594,167.717,173.473,,
767.343,3.94702e-10,18.0,1.76699e-10,1.36674e-10,5.418,-0.976015,176.45,171.323,,
696.035,3.18939e-10,19.0,1.42782e-10,1.52254e-10,5.676,0.298664,167.633,169.202,,
631.354,2.46312e-10,20.0,1.10268e-10,1.64594e-10,5.934,-0.0329947,167.283,167.11,,
572.684,1.63394e-10,21.0,7.31477e-11,1.73539e-10,6.192,-0.168868,165.933,165.046,,
519.466,6.86556e-11,22.0,3.07356e-11,1.78605e-10,6.45,1.65192,154.333,163.011,,
471.193,0.0,23.0,0.0,1.79301e-10,6.708,1.12685,155.083,161.002,,
427.406,0.0,24.0,0.0,1.75141e-10,6.966,-0.55751,161.95,159.021,,
387.688,0.0,25.0,0.0,1.65628e-10,7.224,1.89117,147.133,157.067,,
351.661,0.0,26.0,0.0,1.50523e-10,7.482,-0.611193,158.35,155.14,,
318.982,0.0,27.0,0.0,1.2999e-10,7.74,-1.77599,162.567,153.238,,
289.34,0.0,28.0,0.0,1.04488e-10,7.998,1.68382,142.517,151.361,,
262.452,0.0,29.0,0.0,7.4764e-11,8.256,0.868194,144.95,149.51,,
238.063,0.0,30.0,0.0,4.1815e-11,8.514,1.14243,141.683,147.684,,
215.94,0.0,31.0,0.0,6.88351e-12,8.772,2.68097,131.8,145.883,,
195.873,0.0,32.0,0.0,0.0,9.03,-1.38241,151.367,144.105,,
177.671,0.0,33.0,0.0,0.0,9.288,-0.618457,145.6,142.351,,
161.161,0.0,34.0,0.0,0.0,9.546,0.0642846,140.283,140.621,,
146.184,0.0,35.0,0.0,0.0,9.804,1.5034,131.017,138.914,,
132.6,0.0,36.0,0.0,0.0,10.062,1.49048,129.4,137.229,,
120.277,0.0,37.0,0.0,0.0,10.32,-0.117314,136.183,135.567,,
109.1,6.68709e-12,38.0,2.99366e-12,0.0,10.707,-0.426665,134.7,133.115,,
98.9619,2.32073e-10,39.0,1.03894e-10,0.0,11.223,-1.59488,134.758,129.922,,
89.7656,4.71829e-10,40.0,2.11227e-10,0.0,11.868,-0.581128,128.206,126.047,,
81.4238,7.21642e-10,41.0,3.23063e-10,0.0,12.513,-0.964787,125.225,122.299,,
73.8573,9.77089e-10,42.0,4.37421e-10,0.0,13.158,-0.518806,120.6,118.673,,
66.9939,1.2356e-09,43.0,5.53152e-10,0.0,13.803,-1.67962,120.258,115.165,,
60.7683,1.49412e-09,44.0,6.68883e-10,3.44835e-11,14.448,0.312333,110.822,111.769,,
55.1212,1.7526e-09,45.0,7.84599e-10,1.05365e-10,15.222,-0.600674,109.661,107.839,,
49.9989,0.0,46.0,0.0,0.0,15.996,1.26041,100.75,104.06,,
45.3526,6.43797,47.0,2.88214,0.140552,16.77,-0.663769,102.439,100.426,,
41.1381,25.9552,48.0,11.6195,0.84775,17.673,0.605199,94.7708,96.3603,,
37.3152,60.3802,49.0,27.0309,2.7326,18.576,-0.578799,93.9944,92.4743,,
33.8476,108.117,50.0,48.4016,6.41119,19.479,-0.407442,89.8292,88.7591,,
30.7022,161.355,51.0,72.2349,12.2942,20.511,0.767569,82.6958,84.7118,,
27.8491,210.622,52.0,94.2905,20.4151,21.543,-1.72103,84.9083,80.8654,,
25.2612,245.874,53.0,110.072,30.3812,22.704,-1.0452,79.51,76.7649,,
22.9137,263.84,54.0,118.115,41.5091,23.865,-1.23149,75.7833,72.8904,,
20.7844,264.35,55.0,118.343,53.0404,25.026,-2.12205,74.2133,69.2284,,
18.8529,247.753,56.0,110.914,64.2205,26.316,1.43468,62.3167,65.3933,,
17.101,215.608,57.0,96.5227,74.3365,27.735,2.07059,57.0,61.4403,,
15.5118,172.918,58.0,77.4116,82.8187,29.154,0.25784,57.1933,57.7463,,
14.0703,127.96,59.0,57.2849,89.3874,30.573,-0.996882,56.4306,54.2928,,
12.7628,86.0948,60.0,38.5427,94.0606,32.121,1.22524,48.3472,50.7798,,
11.5768,51.9064,61.0,23.2373,97.0734,33.798,2.33892,42.6071,47.2508,,
10.501,26.9419,62.0,12.0613,98.7948,35.604,-0.221511,44.1857,43.7459,,
9.52515,10.99,63.0,4.91997,99.6229,37.41,0.026977,40.4714,40.5215,,
8.64,2.88775,64.0,1.29278,99.9259,39.345,0.0238394,37.3063,37.3505,,
7.8371,0.253518,65.0,0.113494,99.9944,41.409,0.160345,33.9813,34.262,,
7.10882,0.000558922,66.0,0.000250217,100.0,43.473,0.664053,30.2854,31.4481,,
6.44821,0.0,67.0,0.0,100.0,45.666,-0.0241498,28.7722,28.7299,,
5.84899,0.0,68.0,0.0,100.0,47.988,-1.17492,28.0778,26.1261,,
5.30546,0.0,69.0,0.0,100.0,50.439,-0.351562,24.2083,23.6515,,
4.81243,2.49596e-96,70.0,1.1173900000000001e-96,100.0,53.019,-1.20772,23.23,21.3172,,
4.36522,2.40555e-96,71.0,1.07691e-96,100.0,55.728,-0.245479,19.503,19.1308,,
3.95957,2.30798e-96,72.0,1.03323e-96,100.0,58.695,-0.297626,17.4611,17.0098,,
3.59162,2.20118e-96,73.0,9.85418e-97,100.0,61.662,0.351561,14.6273,15.1395,,
3.25786,2.08333e-96,74.0,9.32662e-97,100.0,64.758,0.320535,12.9538,13.4208,,
2.95511,1.95302e-96,75.0,8.74325e-97,100.0,68.112,0.855635,10.591,11.7922,,
2.6805,1.80937e-96,76.0,8.10016e-97,100.0,71.595,0.351125,9.84643,10.3226,,
2.43141,1.6522e-96,77.0,7.39654e-97,100.0,75.336,0.807797,7.89889,8.95969,,
2.20546,1.48214e-96,78.0,6.635220000000001e-97,100.0,79.206,-0.999406,9.06222,7.7498,,
2.00051,1.30072e-96,79.0,5.82302e-97,100.0,83.205,-0.342069,7.10417,6.68065,,
1.81461,1.11042e-96,80.0,4.97108e-97,100.0,87.462,-0.302291,6.08725,5.71299,,
1.64598,9.14706e-97,81.0,4.09493e-97,100.0,91.977,0.824674,3.8537,4.8475,,
1.49302,7.180370000000001e-97,82.0,3.21449e-97,100.0,96.75,-0.0982052,4.19737,4.08202,,
1.35428,5.25807e-97,83.0,2.3539200000000003e-97,100.0,101.652,0.901212,2.39474,3.42776,,
1.22843,3.44308e-97,84.0,1.54139e-97,100.0,106.812,-1.09747,4.05952,2.85748,,
1.11427,1.80652e-97,85.0,8.0874e-98,100.0,112.359,0.481531,1.82727,2.35469,,
1.01073,4.2697e-98,86.0,1.91145e-98,100.0,118.164,0.163851,1.75507,1.92721,,
0.916803,0.0,87.0,0.0,100.0,124.227,-0.0209143,1.58889,1.56692,,
0.831606,0.0,88.0,0.0,100.0,130.548,0.697549,0.573333,1.26578,,
