T,Sig_Np,Rate#,Pct_Np,CumPct,SigT,E:SNR0020,Sig,SigCalc,Range,Zero
13538.7,0.0,1.0,0.0,0.0,0.8672,0.854024,254.7,266.246,0.8672,0.0
12109.8,9.30035e-12,2.0,3.2745e-12,1.5032e-14,1.084,-1.88676,287.5,261.991,1692.3,0.0
10831.8,1.97661e-11,3.0,6.9593e-12,5.85752e-13,1.3008,-0.465308,264.1,257.809,,
9688.56,3.16449e-11,4.0,1.11416e-11,1.59521e-12,1.5176,1.20553,237.4,253.699,,
8666.02,4.37836e-11,5.0,1.54155e-11,3.07625e-12,1.7344,1.16557,233.9,249.658,,
7751.4,5.49629e-11,6.0,1.93515e-11,5.01514e-12,1.9512,-0.111902,247.2,245.687,,
6933.31,5.76615e-11,7.0,2.03016e-11,7.22652e-12,2.168,1.17483,225.9,241.784,,
6201.56,4.49994e-11,8.0,1.58435e-11,9.24227e-12,2.3848,0.720909,228.2,237.947,,
5547.04,3.27471e-11,9.0,1.15297e-11,1.07688e-11,2.6016,0.301397,230.1,234.175,,
4961.6,2.92906e-11,10.0,1.03127e-11,1.19869e-11,2.8184,0.596694,222.4,230.467,,
4437.95,4.14601e-11,11.0,1.45974e-11,1.33761e-11,3.0352,-1.03385,240.8,226.822,,
3969.56,6.33299e-11,12.0,2.22974e-11,1.54337e-11,3.252,-0.877261,235.1,223.24,,
3550.61,9.65542e-11,13.0,3.39951e-11,1.8573e-11,3.4688,-1.21915,236.2,219.717,,
3175.87,1.42301e-10,14.0,5.01018e-11,2.32629e-11,3.6856,0.181553,213.8,216.255,,
2840.69,2.01176e-10,15.0,7.08307e-11,3.00071e-11,3.9024,-0.698947,222.3,212.85,,
2540.88,2.73185e-10,16.0,9.61839e-11,3.93212e-11,4.1192,-2.03379,237.0,209.504,,
2272.71,3.57738e-10,17.0,1.25953e-10,5.17094e-11,4.336,0.814586,195.2,206.213,,
2032.85,4.53467e-10,18.0,1.59658e-10,6.76374e-11,4.5528,1.18182,187.0,202.978,,
1818.3,5.5828e-10,19.0,1.96561e-10,8.75031e-11,4.7696,1.22763,183.2,199.797,,
1626.39,6.69385e-10,20.0,2.35679e-10,1.11608e-10,4.9864,1.44011,177.2,196.67,,
1454.74,7.8333e-10,21.0,2.75797e-10,1.40132e-10,5.2032,-0.629065,202.1,193.595,,
1301.21,8.96565e-10,22.0,3.15666e-10,1.73117e-10,5.42,-0.616002,198.9,190.572,,
1163.88,1.01155e-09,23.0,3.5615e-10,2.10583e-10,5.6368,0.295781,183.6,187.599,,
1041.04,1.12117e-09,24.0,3.94744e-10,2.52459e-10,5.8536,-0.290258,188.6,184.676,,
