T,Sig_Np,Rate#,Pct_Np,CumPct,SigT,E:SNR0024,Sig,SigCalc,Range,Zero
3547.05,5.3121e-11,1.0,1.83386e-11,1.02271e-12,0.2272,2.2853,261.5,289.217,0.2272,0.0
3172.69,2.98196e-11,2.0,1.02944e-11,2.61952e-12,0.284,1.77305,267.6,289.104,443.38,0.0
2837.84,2.98872e-11,3.0,1.03178e-11,3.76902e-12,0.3408,1.92867,265.6,288.991,,
2538.33,3.86144e-11,4.0,1.33306e-11,5.08785e-12,0.3976,0.32806,284.9,288.879,,
2270.43,4.13937e-12,5.0,1.42901e-12,5.91096e-12,0.4544,0.65684,280.8,288.766,,
2030.81,0.0,6.0,0.0,5.43261e-12,0.5112,0.88668,277.9,288.654,,
1816.47,0.0,7.0,0.0,3.65577e-12,0.568,-0.276924,291.9,288.541,,
1624.76,0.0,8.0,0.0,5.82153e-13,0.6248,0.233262,285.6,288.429,,
1453.28,0.0,9.0,0.0,0.0,0.6816,-1.06226,301.2,288.317,,
1299.9,0.0,10.0,0.0,0.0,0.7384,-0.634519,295.9,288.204,,
1162.71,0.0,11.0,0.0,0.0,0.7952,-0.833414,298.2,288.092,,
1040.0,0.0,12.0,0.0,0.0,0.852,-0.166553,290.0,287.98,,
930.233,0.0,13.0,0.0,0.0,0.9088,-0.0521215,288.5,287.868,,
832.056,0.0,14.0,0.0,0.0,0.9656,0.120031,286.3,287.756,,
744.24,0.0,15.0,0.0,0.0,1.0224,-1.126,301.3,287.644,,
665.692,0.0,16.0,0.0,0.0,1.0792,-0.714725,296.2,287.532,,
595.434,0.0,17.0,0.0,0.0,1.136,-1.18569,301.8,287.42,,
532.591,0.0,18.0,0.0,0.0,1.1928,-0.774413,296.7,287.308,,
476.381,0.0,19.0,0.0,0.0,1.2496,0.255264,284.1,287.196,,
426.103,4.29695e-12,20.0,1.48341e-12,0.0,1.3064,1.84562,264.7,287.084,,
381.132,2.35377e-11,21.0,8.12577e-12,0.0,1.3632,1.02012,274.6,286.972,,
340.907,4.45533e-11,22.0,1.53809e-11,0.0,1.42,-0.481482,292.7,286.86,,
304.927,6.69699e-11,23.0,2.31196e-11,0.0,1.4768,-0.325788,290.7,286.749,,
272.745,9.03068e-11,24.0,3.1176e-11,0.0,1.5336,-0.269033,289.9,286.637,,
243.959,1.13644e-10,25.0,3.92325e-11,0.0,1.5904,1.49449,268.4,286.525,,
218.211,1.36981e-10,26.0,4.72889e-11,0.0,1.6472,0.421655,281.3,286.414,,
195.181,1.38844e-10,27.0,4.79323e-11,0.0,1.704,0.832967,276.2,286.302,,
174.581,0.0,28.0,0.0,0.0,1.7608,-1.23754,301.2,286.191,,
156.156,1037.44,29.0,358.149,19.9733,1.8176,0.49302,280.1,286.079,,
139.675,1559.63,30.0,538.421,69.9733,1.8744,0.3684,281.5,285.968,,
124.934,0.0,31.0,0.0,100.0,1.9312,1.85985,263.3,285.857,,
111.748,0.0,32.0,0.0,100.0,1.988,0.465473,280.1,285.745,,
99.954,0.0,33.0,0.0,100.0,2.0448,-0.384718,290.3,285.634,,
89.4048,0.0,34.0,0.0,100.0,2.1016,0.70273,277.0,285.523,,
79.9689,0.0,35.0,0.0,100.0,2.1584,0.95741,273.8,285.412,,
71.5289,0.0,36.0,0.0,100.0,2.2152,-0.0824108,286.3,285.301,,
63.9797,0.0,37.0,0.0,100.0,2.272,-0.0668357,286.0,285.189,,
